CustomerID,Age,Gender,Category,ItemPurchased,Amount,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases
69,35,Female,Beauty,Makeup Set,112.83,Spring,Card,3.8,10,5
70,29,Male,Sports,Football,30.71,Autumn,Card,3.7,16,3
71,42,Male,Sports,Yoga Mat,101.34,Spring,Card,3,32,11
72,20,Male,Footwear,Formal Shoes,213.27,Winter,Card,5,11,3
73,53,Male,Sports,Yoga Mat,196.81,Winter,Card,4.4,17,6
74,58,Male,Sports,Yoga Mat,246.49,Autumn,Card,4.5,11,3
75,40,Female,Womens Clothing,Top,124.21,Summer,Card,3,6,3
76,59,Female,Beauty,Skincare Kit,42.8,Winter,Card,3.1,13,4
77,70,Male,Mens Clothing,Shirt,96.18,Autumn,Card,2.7,20,5
78,38,Male,Electronics,Mobile Phone,2888.09,Winter,Card,3.6,8,4
79,62,Female,Accessories,Sunglasses,151.06,Autumn,Card,4.1,20,5
80,35,Female,Accessories,Handbag,141.45,Autumn,Card,5,19,7
81,26,Male,Groceries,Cooking Oil,73.66,Spring,Card,4.7,11,3
82,58,Male,Mens Clothing,Jacket,36.29,Autumn,Card,3.4,6,3
83,45,Male,Footwear,Sandals,208.84,Summer,Card,4.4,18,9
84,58,Female,Womens Clothing,Dress,98.33,Spring,Card,4.1,26,8
85,49,Female,Womens Clothing,Dress,37.16,Summer,Cash on Delivery,3.7,16,3
86,65,Female,Beauty,Makeup Set,41.71,Winter,Card,3.3,19,7
87,22,Female,Beauty,Makeup Set,145.98,Summer,Card,3.5,24,7
88,44,Male,Electronics,Mobile Phone,1643.58,Autumn,Card,3.2,11,3
89,61,Male,Electronics,Laptop,2338.03,Spring,Card,3.8,14,2
90,56,Female,Groceries,Rice Pack,68.84,Summer,Cash on Delivery,5,19,7
91,35,Female,Accessories,Sunglasses,45.66,Spring,Cash on Delivery,4.6,18,4
92,51,Male,Footwear,Sandals,40.24,Winter,Card,3.8,18,4
93,36,Female,Footwear,Sneakers,203.77,Spring,Card,4.4,19,7
94,20,Female,Accessories,Wallet,159.45,Winter,Card,4.6,20,5
95,25,Male,Footwear,Sandals,183.49,Autumn,Card,3.5,20,5
96,21,Male,Mens Clothing,Jacket,76.45,Summer,Card,4.4,12,6
97,20,Female,Accessories,Wallet,54.1,Summer,Card,4.1,16,3
98,65,Female,Accessories,Handbag,41,Autumn,Cash on Delivery,4,10,5
99,39,Female,Footwear,Sneakers,73.77,Spring,Card,3.5,17,6
100,51,Male,Electronics,Smart Watch,2449.63,Autumn,Card,1.9,4,2
101,65,Female,Home,Curtains,86.79,Spring,Cash on Delivery,3.6,12,6
102,58,Female,Womens Clothing,Skirt,64.03,Summer,Card,3.2,13,4
103,50,Female,Footwear,Formal Shoes,171.31,Autumn,Card,5,21,8
104,42,Female,Groceries,Snacks,21.44,Autumn,Card,3.6,19,7
105,60,Male,Mens Clothing,Jacket,145.64,Winter,Card,3.3,2,1
106,50,Female,Footwear,Sneakers,112.65,Spring,Card,3.9,10,5
107,55,Female,Footwear,Formal Shoes,177.55,Summer,Card,4.2,17,6
108,61,Female,Womens Clothing,Skirt,100.22,Summer,Card,3.8,4,2
109,33,Female,Footwear,Formal Shoes,60,Summer,Card,3.3,8,4
110,66,Male,Footwear,Formal Shoes,75.65,Winter,Card,4,14,7
111,66,Male,Electronics,Laptop,2263.46,Autumn,Card,3.8,13,4
112,45,Male,Footwear,Formal Shoes,77.8,Winter,Cash on Delivery,3.2,9,2
113,69,Female,Womens Clothing,Top,84.93,Autumn,Cash on Delivery,4.6,17,6
114,27,Female,Sports,Football,124.84,Spring,Card,3.2,20,10
115,23,Male,Footwear,Formal Shoes,122.71,Summer,Card,3.4,8,4
116,60,Male,Electronics,Mobile Phone,1317.58,Winter,Card,4.2,26,8
117,31,Female,Beauty,Perfume,70.51,Spring,Cash on Delivery,4.2,18,4
118,28,Male,Sports,Yoga Mat,132.82,Autumn,Card,2.9,9,2
119,56,Male,Footwear,Sandals,200.63,Summer,Card,4,18,4
120,34,Female,Womens Clothing,Skirt,47.24,Spring,Cash on Delivery,4.1,15,5
121,37,Female,Footwear,Formal Shoes,65.6,Winter,Cash on Delivery,3.2,15,5
122,63,Female,Accessories,Sunglasses,20.41,Autumn,Cash on Delivery,3.7,17,6
123,35,Male,Electronics,Smart Watch,1187.02,Autumn,Card,3.5,15,5
124,53,Male,Electronics,Mobile Phone,559.1,Autumn,Card,3.4,17,6
125,54,Male,Footwear,Formal Shoes,129.92,Winter,Card,4.2,13,4
126,65,Female,Groceries,Beverages,19.39,Spring,Cash on Delivery,3.4,6,3
127,24,Female,Beauty,Makeup Set,97.07,Autumn,Cash on Delivery,2.4,13,4
128,55,Male,Sports,Dumbbells,70.21,Spring,Cash on Delivery,3.4,18,4
129,64,Male,Sports,Yoga Mat,248.31,Winter,Card,3.7,19,7
130,21,Male,Sports,Football,149.61,Autumn,Card,3.6,21,8
131,66,Male,Home,Lamp,132.77,Spring,Card,3.5,17,6
132,39,Female,Beauty,Makeup Set,37.23,Winter,Card,3.4,14,7
133,53,Female,Footwear,Sneakers,88.84,Summer,Cash on Delivery,1.8,16,3
134,25,Female,Womens Clothing,Top,140.53,Spring,Card,3.9,11,3
135,30,Female,Sports,Football,121.83,Autumn,Card,3.5,16,3
136,23,Male,Electronics,Headphones,1052.01,Autumn,Card,4.1,24,7
137,41,Female,Groceries,Cooking Oil,77.29,Winter,Card,3.9,18,4
138,40,Female,Beauty,Skincare Kit,124.2,Spring,Card,3.1,17,6
139,23,Female,Footwear,Formal Shoes,139.96,Autumn,Card,4.1,18,9
140,59,Male,Footwear,Formal Shoes,121.13,Summer,Card,3.6,10,5
141,56,Female,Groceries,Snacks,58.72,Autumn,Card,2.6,2,1
142,34,Male,Sports,Dumbbells,64.17,Autumn,Card,3,8,4
143,59,Male,Footwear,Formal Shoes,42.19,Spring,Cash on Delivery,3.2,4,2
144,40,Female,Footwear,Formal Shoes,166.4,Autumn,Card,3.8,14,7
145,33,Female,Womens Clothing,Top,76.54,Summer,Card,4.2,6,3
146,68,Female,Womens Clothing,Dress,158.36,Spring,Card,3.6,23,9
147,48,Male,Footwear,Formal Shoes,84.84,Summer,Card,4.7,26,8
148,27,Female,Footwear,Sneakers,195.76,Summer,Card,4,17,6
149,46,Male,Sports,Football,146.21,Summer,Card,3.6,8,4
150,35,Male,Mens Clothing,T-Shirt,115.35,Winter,Card,4.1,13,4
151,57,Male,Sports,Football,31.54,Winter,Cash on Delivery,5,16,3
152,35,Female,Footwear,Formal Shoes,142.19,Spring,Card,3.6,16,3
153,38,Female,Footwear,Formal Shoes,246.21,Autumn,Card,3.1,8,4
154,68,Male,Footwear,Sandals,194.06,Spring,Card,3.8,18,4
155,66,Female,Accessories,Handbag,172.05,Winter,Card,2.5,17,6
156,38,Female,Womens Clothing,Skirt,94.08,Summer,Cash on Delivery,4.1,22,6
157,20,Female,Womens Clothing,Dress,57.01,Summer,Card,3.1,15,5
158,47,Female,Footwear,Formal Shoes,130.07,Spring,Card,3.1,13,4
159,62,Male,Mens Clothing,Shirt,161.22,Autumn,Card,4.7,18,4
160,33,Male,Electronics,Mobile Phone,862.41,Spring,Card,3.5,12,6
161,23,Male,Footwear,Formal Shoes,157.86,Spring,Card,5,13,4
162,25,Female,Beauty,Skincare Kit,142.94,Autumn,Card,4.5,17,6
163,29,Male,Sports,Football,70.31,Summer,Cash on Delivery,3,8,4
164,60,Female,Womens Clothing,Dress,34.62,Summer,Card,4.2,20,5
165,69,Male,Footwear,Sandals,82.79,Summer,Cash on Delivery,5,21,8
166,35,Male,Footwear,Formal Shoes,75.46,Autumn,Card,2.5,16,3
167,49,Female,Accessories,Handbag,148.58,Summer,Card,4.3,26,8
168,52,Female,Womens Clothing,Top,43.5,Autumn,Cash on Delivery,3.4,24,7
169,28,Male,Mens Clothing,Jacket,179.57,Winter,Card,3.2,6,3
170,70,Male,Sports,Football,122.99,Autumn,Card,3.4,10,5
171,53,Female,Footwear,Sandals,76.73,Autumn,Cash on Delivery,5,24,7
172,36,Male,Sports,Football,227.24,Summer,Card,3.4,14,2
173,53,Female,Womens Clothing,Jeans,94.87,Winter,Cash on Delivery,3.6,13,4
174,38,Female,Womens Clothing,Skirt,166.83,Winter,Card,4.1,16,3
175,38,Male,Sports,Yoga Mat,52.06,Winter,Card,2.3,4,2
176,54,Male,Mens Clothing,Shirt,38.18,Winter,Cash on Delivery,3.5,12,6
177,67,Female,Accessories,Wallet,156.91,Summer,Card,3.3,8,4
178,36,Female,Beauty,Skincare Kit,110.28,Spring,Card,3.8,16,3
179,48,Female,Accessories,Wallet,114.67,Winter,Card,3.5,8,4
180,20,Female,Womens Clothing,Top,73.25,Winter,Card,2.5,11,3
181,48,Male,Sports,Yoga Mat,162.43,Summer,Card,3.4,11,3
182,40,Male,Mens Clothing,Jeans,79.89,Summer,Card,4.4,18,4
183,60,Male,Footwear,Formal Shoes,248.49,Autumn,Card,4.2,6,3
184,52,Male,Sports,Yoga Mat,187.31,Winter,Card,4.7,7,1
185,66,Male,Home,Curtains,60.91,Winter,Card,4,8,4
186,60,Female,Accessories,Handbag,21.62,Spring,Cash on Delivery,3.8,19,7
187,36,Male,Footwear,Sandals,142.06,Autumn,Card,3.5,4,2
188,57,Female,Accessories,Wallet,84.62,Autumn,Card,2.8,18,4
189,63,Male,Footwear,Sandals,162.26,Autumn,Card,3.5,12,6
190,38,Male,Mens Clothing,T-Shirt,31.14,Summer,Card,4.4,19,7
191,23,Male,Groceries,Cooking Oil,7.07,Spring,Cash on Delivery,3.7,18,4
192,56,Female,Home,Lamp,157.98,Winter,Card,4.8,10,5
193,51,Female,Beauty,Skincare Kit,82.12,Winter,Card,3.2,13,4
194,65,Male,Sports,Dumbbells,150.48,Winter,Card,3.5,20,5
195,36,Male,Sports,Yoga Mat,153.11,Summer,Card,4,6,3
196,46,Male,Mens Clothing,Shirt,107.94,Spring,Card,3.8,6,3
197,31,Female,Sports,Yoga Mat,245.72,Winter,Card,4.1,20,5
198,70,Female,Beauty,Makeup Set,79.28,Winter,Card,2,12,6
199,68,Male,Footwear,Sandals,225.53,Spring,Card,4.5,13,4
200,29,Female,Beauty,Makeup Set,63.34,Summer,Card,4.5,17,6
201,20,Female,Beauty,Perfume,38.57,Spring,Card,4.6,19,7
202,30,Male,Mens Clothing,T-Shirt,128.1,Summer,Card,3,12,1
203,57,Female,Beauty,Perfume,129.47,Spring,Card,4.4,15,5
204,46,Female,Beauty,Perfume,49.38,Spring,Cash on Delivery,3.4,19,7
205,55,Female,Footwear,Formal Shoes,90.81,Autumn,Card,4.4,24,7
206,68,Male,Groceries,Cooking Oil,63.73,Winter,Card,4.5,24,7
207,62,Male,Mens Clothing,T-Shirt,127.21,Autumn,Card,4.9,14,7
208,29,Male,Groceries,Snacks,54.98,Autumn,Cash on Delivery,2.9,16,8
209,58,Female,Accessories,Sunglasses,37.76,Autumn,Card,3.5,14,2
210,50,Female,Beauty,Makeup Set,81.4,Spring,Cash on Delivery,4.9,20,5
211,22,Female,Footwear,Sneakers,183.26,Winter,Card,2.4,6,3
212,29,Female,Womens Clothing,Jeans,172.51,Autumn,Card,3.8,13,4
213,43,Male,Sports,Yoga Mat,141.78,Winter,Card,2.9,24,7
214,25,Male,Groceries,Rice Pack,62.99,Autumn,Card,2.9,16,3
215,32,Male,Footwear,Sneakers,154.86,Spring,Card,4.1,18,4
216,47,Male,Footwear,Formal Shoes,162.26,Autumn,Card,4,19,7
217,26,Female,Beauty,Makeup Set,60.97,Spring,Card,4.6,21,8
218,69,Female,Groceries,Beverages,52.32,Winter,Cash on Delivery,3.6,10,5
219,25,Female,Womens Clothing,Top,122.97,Autumn,Card,4.3,24,7
220,63,Female,Sports,Dumbbells,245.76,Spring,Card,4,13,4
221,45,Female,Sports,Football,229.28,Autumn,Card,4.9,16,8
222,43,Female,Womens Clothing,Jeans,32.06,Summer,Card,3.5,7,1
223,40,Female,Footwear,Formal Shoes,148.08,Winter,Card,3.7,10,5
224,48,Male,Sports,Football,32.34,Winter,Cash on Delivery,4.1,6,3
225,39,Male,Sports,Football,79.09,Winter,Card,4,8,4
226,23,Male,Sports,Dumbbells,121.19,Autumn,Card,3.2,17,6
227,42,Female,Womens Clothing,Jeans,64.76,Summer,Card,3.7,11,3
228,43,Male,Electronics,Smart Watch,2234.05,Summer,Card,4.2,12,6
229,60,Male,Sports,Yoga Mat,106.49,Summer,Card,3.4,16,3
230,55,Male,Electronics,Headphones,2024.08,Summer,Card,3.2,18,4
231,55,Male,Mens Clothing,Shirt,122.22,Summer,Card,4.1,13,4
232,51,Female,Beauty,Perfume,112.88,Autumn,Card,4.9,22,6
233,58,Male,Footwear,Sandals,66.28,Winter,Cash on Delivery,2.7,6,3
234,22,Male,Sports,Dumbbells,122.95,Autumn,Card,3.1,22,6
235,54,Female,Beauty,Makeup Set,129.63,Spring,Card,5,10,5
236,59,Male,Mens Clothing,Jacket,191.92,Autumn,Card,3.9,21,8
237,22,Female,Accessories,Sunglasses,21.95,Winter,Cash on Delivery,3.6,16,3
238,24,Male,Electronics,Mobile Phone,1117.83,Summer,Card,2.9,13,4
239,58,Female,Footwear,Formal Shoes,194.03,Spring,Card,3,21,8
240,24,Female,Beauty,Makeup Set,111.59,Summer,Card,3.7,8,4
241,35,Female,Womens Clothing,Top,194.65,Autumn,Card,3.6,9,2
242,63,Male,Footwear,Formal Shoes,96.15,Winter,Card,3.2,9,2
243,51,Female,Accessories,Sunglasses,115.63,Winter,Card,2.9,19,7
244,47,Male,Sports,Football,146.95,Spring,Card,5,24,7
245,69,Male,Electronics,Headphones,2517.97,Autumn,Card,4.3,28,9
246,66,Female,Beauty,Makeup Set,55.2,Summer,Card,3.6,11,3
247,35,Female,Accessories,Wallet,161.59,Spring,Card,3.4,22,6
248,36,Male,Footwear,Sneakers,110.06,Spring,Card,3.9,19,7
249,59,Female,Accessories,Handbag,145.44,Summer,Card,4.5,22,6
250,20,Male,Mens Clothing,Jeans,99.49,Autumn,Cash on Delivery,3.8,18,9
251,46,Female,Beauty,Skincare Kit,116.53,Winter,Card,4.2,12,6
252,68,Male,Mens Clothing,Jacket,170.91,Winter,Card,3.8,14,7
253,66,Male,Sports,Yoga Mat,111.58,Autumn,Card,3.4,21,8
254,70,Female,Home,Kitchen Set,96.25,Autumn,Cash on Delivery,2.9,14,2
255,43,Female,Beauty,Perfume,118,Winter,Card,4.1,12,6
256,67,Male,Electronics,Laptop,1597.74,Summer,Card,5,30,10
257,48,Male,Mens Clothing,T-Shirt,179.87,Summer,Card,3.7,17,6
258,38,Female,Accessories,Sunglasses,22.14,Autumn,Cash on Delivery,4.7,9,2
259,41,Female,Beauty,Perfume,28.65,Summer,Card,2.3,8,4
260,33,Female,Accessories,Wallet,79.92,Summer,Cash on Delivery,4.2,14,2
261,21,Female,Beauty,Perfume,124.58,Summer,Card,4.3,19,7
262,26,Female,Home,Lamp,72.84,Summer,Card,3.1,14,7
263,35,Female,Beauty,Skincare Kit,47.94,Spring,Card,3.6,13,4
264,51,Male,Mens Clothing,Shirt,74.89,Spring,Cash on Delivery,3.2,22,6
265,58,Male,Sports,Dumbbells,246.24,Winter,Card,3.5,12,6
266,65,Female,Beauty,Makeup Set,135.46,Autumn,Card,4.3,24,7
267,31,Male,Footwear,Sneakers,220.18,Spring,Card,3.4,6,3
268,67,Male,Mens Clothing,Jacket,159.94,Winter,Card,4.5,10,5
269,29,Male,Electronics,Laptop,2391.83,Winter,Card,3.4,14,7
270,31,Female,Beauty,Makeup Set,112.96,Autumn,Card,5,13,4
271,42,Male,Groceries,Snacks,56.82,Spring,Card,5,17,6
272,33,Female,Groceries,Snacks,17.86,Autumn,Cash on Delivery,3.7,30,10
273,59,Male,Groceries,Beverages,22.31,Spring,Card,3.9,28,9
274,36,Male,Electronics,Smart Watch,2851.93,Autumn,Card,3.4,8,4
275,61,Female,Womens Clothing,Skirt,164.2,Autumn,Card,3.6,11,3
276,22,Male,Sports,Dumbbells,204.62,Autumn,Card,3.3,16,3
277,68,Female,Footwear,Sneakers,75.72,Spring,Cash on Delivery,4.3,20,5
278,24,Female,Footwear,Formal Shoes,105.45,Summer,Card,2.3,5,0
279,36,Male,Footwear,Formal Shoes,212.7,Autumn,Card,4,18,4
280,28,Female,Accessories,Handbag,98.3,Autumn,Card,3.3,24,7
281,59,Male,Electronics,Laptop,1775.37,Winter,Card,3.2,16,8
282,53,Female,Beauty,Makeup Set,146.09,Summer,Card,3.2,10,5
283,50,Male,Mens Clothing,T-Shirt,144.37,Winter,Card,4.6,8,4
284,39,Female,Womens Clothing,Jeans,107.92,Autumn,Card,4.9,13,4
285,27,Male,Footwear,Sneakers,138.29,Summer,Card,3.6,14,7
286,40,Female,Accessories,Handbag,101.69,Winter,Card,5,10,5
287,28,Female,Footwear,Sandals,198.28,Autumn,Card,3.6,20,5
288,61,Female,Sports,Dumbbells,171.59,Winter,Card,3,16,8
289,54,Male,Electronics,Laptop,2903.73,Spring,Card,3.7,30,10
290,51,Male,Footwear,Formal Shoes,206.84,Summer,Card,2.2,8,4
291,31,Female,Womens Clothing,Jeans,63.74,Autumn,Cash on Delivery,3.7,8,4
292,61,Male,Sports,Yoga Mat,64.87,Summer,Cash on Delivery,1.8,22,6
293,50,Female,Accessories,Sunglasses,67.82,Spring,Card,2.5,14,7
294,65,Female,Beauty,Skincare Kit,95.87,Autumn,Card,4,14,2
295,46,Female,Sports,Yoga Mat,142.71,Spring,Card,3.2,10,5
296,48,Male,Home,Lamp,218.92,Winter,Card,3.7,21,8
297,58,Male,Sports,Dumbbells,57.47,Winter,Card,2.5,2,1
298,20,Male,Mens Clothing,Jeans,170,Spring,Card,3.6,12,6
299,36,Female,Womens Clothing,Skirt,67.61,Spring,Cash on Delivery,3.8,19,7
300,66,Male,Mens Clothing,Jeans,141.21,Summer,Card,3.4,22,6
301,66,Female,Accessories,Sunglasses,57.04,Autumn,Cash on Delivery,3.5,18,4
302,32,Female,Womens Clothing,Dress,41.92,Autumn,Cash on Delivery,3.5,8,4
303,51,Male,Footwear,Formal Shoes,106.72,Autumn,Card,2.8,18,4
304,54,Female,Womens Clothing,Top,145.16,Summer,Card,3.1,14,7
305,25,Female,Accessories,Wallet,102.26,Autumn,Card,4.2,16,3
306,23,Male,Electronics,Headphones,1364.52,Spring,Card,4.6,24,7
307,52,Female,Groceries,Rice Pack,18.59,Spring,Cash on Delivery,2.5,10,5
308,61,Male,Mens Clothing,Jacket,166.84,Summer,Card,5,9,2
309,30,Male,Mens Clothing,Shirt,81.78,Summer,Card,2.4,11,3
310,45,Female,Sports,Dumbbells,80.77,Summer,Card,4.6,11,3
311,46,Male,Footwear,Sandals,118.69,Summer,Card,2.7,10,5
312,35,Female,Beauty,Skincare Kit,77.47,Summer,Card,4.3,8,4
313,48,Female,Accessories,Wallet,85.35,Spring,Card,4.3,4,2
314,48,Female,Footwear,Sandals,102.43,Spring,Card,3.6,24,7
315,30,Male,Groceries,Beverages,11.09,Autumn,Cash on Delivery,2.8,23,9
316,43,Male,Sports,Yoga Mat,30.29,Summer,Cash on Delivery,2.4,16,3
317,69,Female,Groceries,Snacks,79.4,Winter,Card,3.4,15,5
318,22,Female,Sports,Football,237.38,Spring,Card,3.4,7,1
319,39,Female,Groceries,Cooking Oil,56.93,Summer,Card,4.4,8,4
320,60,Female,Womens Clothing,Dress,187.91,Spring,Card,3.8,4,2
321,67,Female,Womens Clothing,Dress,144.38,Spring,Card,3.4,24,7
322,56,Female,Home,Curtains,139.78,Spring,Card,3.9,19,7
323,22,Male,Sports,Dumbbells,232.96,Summer,Card,4.1,6,3
324,65,Female,Beauty,Skincare Kit,79.89,Autumn,Card,5,24,7
325,38,Female,Sports,Football,240.47,Autumn,Card,3.4,8,4
326,42,Female,Sports,Yoga Mat,124.92,Autumn,Card,2.2,21,8
327,48,Female,Sports,Dumbbells,174.99,Winter,Card,4.4,18,4
328,32,Female,Footwear,Sandals,169.59,Summer,Card,4.8,13,4
329,62,Male,Sports,Dumbbells,212.29,Spring,Card,5,11,3
330,57,Male,Electronics,Headphones,2524.81,Autumn,Card,3.8,17,6
331,62,Male,Mens Clothing,Shirt,83.68,Spring,Cash on Delivery,2.9,10,5
332,60,Male,Mens Clothing,T-Shirt,128.55,Spring,Card,4.6,18,4
333,47,Male,Home,Curtains,284.08,Autumn,Card,3.3,16,3
334,57,Female,Womens Clothing,Skirt,140.29,Autumn,Card,5,12,6
335,53,Female,Accessories,Wallet,29.37,Autumn,Cash on Delivery,3.2,24,7
336,48,Female,Accessories,Sunglasses,79.45,Spring,Card,4,15,5
337,63,Female,Womens Clothing,Top,77.1,Winter,Cash on Delivery,2.1,17,6
338,49,Male,Mens Clothing,Shirt,163.61,Winter,Card,2.9,6,3
339,62,Female,Womens Clothing,Jeans,34.1,Autumn,Card,2.8,9,2
340,50,Female,Accessories,Wallet,62.32,Winter,Card,3.5,18,4
341,35,Male,Sports,Dumbbells,165.77,Summer,Card,3.3,14,2
342,29,Male,Footwear,Sandals,132.79,Summer,Card,4.4,14,2
343,25,Female,Beauty,Skincare Kit,82.83,Autumn,Card,4.4,8,4
344,28,Female,Beauty,Skincare Kit,139.28,Autumn,Card,5,21,8
345,44,Male,Mens Clothing,T-Shirt,145.69,Spring,Card,3.4,6,3
346,47,Female,Accessories,Handbag,28.87,Autumn,Cash on Delivery,3,10,5
347,22,Female,Footwear,Sandals,122.56,Winter,Card,4.1,14,2
348,69,Male,Footwear,Sneakers,98.93,Summer,Card,3,24,7
349,41,Male,Sports,Yoga Mat,207.36,Spring,Card,3.9,13,4
350,54,Female,Beauty,Makeup Set,87.55,Spring,Card,3.6,18,4
351,40,Female,Beauty,Skincare Kit,47.08,Winter,Card,3,12,6
352,63,Female,Sports,Dumbbells,104.84,Spring,Card,4.3,18,9
353,47,Male,Mens Clothing,Shirt,84.24,Autumn,Cash on Delivery,3.1,13,4
354,68,Female,Beauty,Perfume,136.55,Summer,Card,3.6,7,1
355,53,Male,Electronics,Headphones,2520.99,Winter,Card,3.1,18,4
356,25,Male,Sports,Football,43.35,Summer,Card,2.2,6,3
357,34,Female,Beauty,Skincare Kit,123.83,Spring,Card,5,4,2
358,66,Female,Footwear,Formal Shoes,194.54,Spring,Card,2.6,6,3
359,30,Male,Mens Clothing,Shirt,65.61,Summer,Card,3.3,16,3
360,59,Female,Accessories,Handbag,68.54,Spring,Card,2.7,21,8
